device_id,timestamp,conductivity,latitude,longitude,moisture,nitrogen,pH,phosphor,potassium,Temperature
M20-2407300002 --- ,2024-11-01-11:19:05,703.6667,26.3079688,68.3654373,20.9,40.3333,6.8933,55.3333,138.6667,35.5
M20-2407300002 --- ,2024-11-01-11:19:19,719,26.3079688,68.3654373,20.70000076,41,6.449999809,57,141,35
M20-2407300002 --- ,2024-11-01-11:22:55,538.6667,26.3079127,68.3653706,19.9556,32.1111,7.2444,44.1111,110.6667,33.3111
M20-2407300002 --- ,2024-11-01-11:23:40,664,26.3079127,68.3653706,22.20000076,38,7.510000229,53,132,33.5
M20-2407300002 --- ,2024-11-01-11:23:41,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:23:42,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:23:43,670,26.3079127,68.3653706,22.20000076,39,7.320000172,53,133,33.5
M20-2407300002 --- ,2024-11-01-11:33:25,585.3333,26.3077303,68.3654334,18.35,34.3333,6.32,47.5,118.5,37.1167
M20-2407300002 --- ,2024-11-01-11:33:31,983,26.3077297,68.3654325,27.89999962,54,5.559999943,75,186,37.40000153
M20-2407300002 --- ,2024-11-01-11:33:32,992,26.3077297,68.3654325,27.89999962,55,5.559999943,75,188,37.40000153
M20-2407300002 --- ,2024-11-01-11:33:37,1021,26.3077297,68.3654325,27.70000076,56,5.630000114,77,193,37.40000153
M20-2407300002 --- ,2024-11-01-11:36:00,371,26.3076198,68.3655271,22.20000076,24,6.570000172,33,82,36.29999924
M20-2407300002 --- ,2024-11-01-11:36:02,371,26.3076198,68.3655271,22.10000038,24,6.570000172,33,82,36.29999924
M20-2407300002 --- ,2024-11-01-11:40:38,535.1905,26.3074942,68.365415,14.0429,32.0476,7.479,44.0476,110.0476,32.4381
M20-2407300002 --- ,2024-11-01-11:41:06,1552,26.3074933,68.365417,28.5,83,6.010000229,114,283,34.29999924
M20-2407300002 --- ,2024-11-01-11:45:10,342,26.3073455,68.3652224,12.19999981,22,7.119999886,31,77,32.70000076
M20-2407300002 --- ,2024-11-01-11:46:36,403,26.3071165,68.3654509,11,25,6.96999979,35,88,31.5
M20-2407300002 --- ,2024-11-01-11:50:19,1217,26.3068324,68.3654829,27.60000038,66,7.880000114,91,226,31.5
M20-2407300002 --- ,2024-11-01-13:10:20,4351.7222,26.3063486,68.3653948,34.3778,222.3333,7.4767,306.5,520.1667,39.4778
M20-2407300002 --- ,2024-11-01-13:11:54,1507,26.3062611,68.3654051,29.5,81,6.510000229,111,275,39.59999847
M20-2407300002 --- ,2024-11-01-13:15:20,3539.5303,26.3059015,68.3656259,30.2833,182.1818,7.7429,251.2273,513.5758,37.9409
M20-2407300002 --- ,2024-11-01-13:18:18,1422,26.3062455,68.3657123,29.60000038,76,7.860000134,105,261,39.29999924
M20-2407300002 --- ,2024-11-01-13:18:26,1402,26.306246,68.3657184,29.29999924,75,6.46999979,104,258,39.20000076
M20-2407300002 --- ,2024-11-01-13:20:08,12872,26.3067702,68.3658107,32.59999847,649,7.820000172,895,1999,38.79999924
M20-2407300002 --- ,2024-11-01-13:21:17,943,26.3068658,68.3656117,25.79999924,52,7.070000172,72,179,38.70000076
M20-2407300002 --- ,2024-11-01-13:21:46,408,26.3069111,68.3657023,22.70000076,26,7.849999905,35,88,38.79999924
M20-2407300002 --- ,2024-11-01-13:21:47,406,26.3069116,68.3656999,22.70000076,26,7.849999905,35,88,38.70000076
M20-2407300002 --- ,2024-11-01-13:23:51,501,26.306434,68.365703,24.89999962,30,7.869999886,42,104,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:53,500,26.3071609,68.3658996,24.89999962,30,7.869999886,42,104,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:54,495,26.3071609,68.3658996,24.89999962,30,7.869999886,41,103,38.79999924
M20-2407300002 --- ,2024-11-01-13:23:55,495,26.3072451,68.3659192,24.89999962,30,7.869999886,41,103,38.79999924
M20-2407300002 --- ,2024-11-01-13:26:33,728,26.3075972,68.3655808,40.79999924,42,7.320000172,57,143,38.90000153
M20-2407300002 --- ,2024-11-01-13:26:34,722,26.3075972,68.3655808,40.59999847,41,7.320000172,57,142,38.90000153
M20-2407300002 --- ,2024-11-01-13:27:57,514,26.3079184,68.3658915,36.29999924,31,7.800000191,42,106,38.29999924
M20-2407300002 --- ,2024-11-01-13:27:58,480,26.3079184,68.3658915,33.70000076,29,7.800000191,40,101,38.29999924
M20-2407300002 --- ,2024-11-01-13:27:59,480,26.3079184,68.3658915,33.70000076,29,7.800000191,40,101,38.29999924
M20-2407300002 --- ,2024-11-01-13:29:29,557,26.308021,68.3657492,21.60000038,33,7.920000076,45,114,37.70000076
